platform,appid,country,currency,initial,final,discount_percent,release_date,type,is_free,genres,categories,ts_collected_utc
steam,3917090,NZ,NZD,43.95,35.16,20,"13 Nov, 2025",game,False,"Racing,Early Access","Single-player,Full controller support,Custom Volume Controls,Keyboard Only Option,Playable without Timed Input,Stereo Sound,Surround Sound,HDR available,Family Sharing",2025-11-17T05:02:14Z
steam,2399830,AU,AUD,70.0,35.0,50,"25 Oct, 2023",game,False,"Action,Adventure,Indie,Massively Multiplayer,RPG,Early Access","Single-player,Multi-player,MMO,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Includes level editor,Remote Play Together,Family Sharing",2025-11-17T05:02:14Z
steam,3527290,KR,KRW,8400.0,5210.0,38,"16 Jun, 2025",game,False,"Action,Adventure,Indie","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing",2025-11-17T05:02:14Z
steam,252490,AR,USD,18.99,18.99,0,"8 Feb, 2018",game,False,"Action,Adventure,Indie,Massively Multiplayer,RPG","Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on Tablet",2025-11-17T05:02:14Z
steam,252490,RU,RUB,1399.0,1399.0,0,"8 Feb, 2018",game,False,"Action,Adventure,Indie,Massively Multiplayer,RPG","Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on Tablet",2025-11-17T05:02:14Z
steam,3949040,MX,MXN,100.99,100.99,0,"21 Oct, 2025",game,False,"Action,Adventure,Indie","Single-player,Multi-player,Co-op,Online Co-op,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,3450310,CA,CAD,79.99,79.99,0,"4 Nov, 2025",game,False,Strategy,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,3472040,CN,CNY,298.0,298.0,0,"4 Sep, 2025",game,False,Sports,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,In-App Purchases,Partial Controller Support,Steam Cloud,Remote Play Together,Family Sharing",2025-11-17T05:02:14Z
steam,3949040,CH,CHF,8.99,8.99,0,"21 Oct, 2025",game,False,"Action,Adventure,Indie","Single-player,Multi-player,Co-op,Online Co-op,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,252490,TR,USD,18.99,18.99,0,"8 Feb, 2018",game,False,"Action,Adventure,Indie,Massively Multiplayer,RPG","Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on Tablet",2025-11-17T05:02:14Z
