platform,appid,country,currency,initial,final,discount_percent,release_date
steam,3164500,AR,USD,10.49,7.34,30,"24 Mar, 2025"
steam,1757300,AR,USD,7.99,7.99,0,"19 Sep, 2025"
steam,1142710,JP,JPY,7000.0,1750.0,75,"16 Feb, 2022"
steam,1144200,GB,GBP,44.99,22.49,50,"13 Dec, 2023"
steam,1903340,BR,BRL,199.0,179.1,10,"24 Apr, 2025"
steam,381210,DE,EUR,19.99,7.99,60,"14 Jun, 2016"
steam,2651280,FR,EUR,59.99,47.99,20,"30 Jan, 2025"
steam,3230400,CA,CAD,89.99,62.99,30,"14 Aug, 2025"
steam,1004640,FR,EUR,49.99,49.99,0,"30 Sep, 2025"
steam,3314790,TR,USD,5.79,5.21,10,"26 Sep, 2025"
steam,3527290,AR,USD,3.99,3.19,20,"16 Jun, 2025"
steam,2183900,JP,JPY,9800.0,4900.0,50,"9 Sep, 2024"
steam,1145350,GB,GBP,24.99,24.99,0,"25 Sep, 2025"
steam,2947440,GB,GBP,69.99,69.99,0,"24 Sep, 2025"
steam,1669000,FR,EUR,49.99,24.99,50,"2 May, 2023"
steam,381210,BR,BRL,69.99,27.99,60,"14 Jun, 2016"
steam,2947440,CN,CNY,391.0,391.0,0,"24 Sep, 2025"
steam,381210,TR,USD,14.99,5.99,60,"14 Jun, 2016"
steam,1757300,TR,USD,7.99,7.99,0,"19 Sep, 2025"
steam,381210,US,USD,19.99,7.99,60,"Jun 14, 2016"
steam,1151340,US,USD,39.99,9.99,75,"Apr 14, 2020"
steam,553850,AR,USD,39.99,31.99,20,"8 Feb, 2024"
steam,1285190,TR,USD,69.99,69.99,0,"11 Sep, 2025"
steam,3606480,CA,CAD,89.99,89.99,0,"13 Nov, 2025"
steam,294100,DE,EUR,31.99,25.59,20,"17 Oct, 2018"
steam,2947440,FR,EUR,79.99,79.99,0,"24 Sep, 2025"
steam,2215430,US,USD,59.99,40.19,33,"May 16, 2024"
steam,2183900,CA,CAD,79.99,39.99,50,"9 Sep, 2024"
steam,2215430,AU,AUD,94.95,63.61,33,"16 May, 2024"
steam,2807960,PL,PLN,299.9,299.9,0,"10 Oct, 2025"
steam,1984270,BR,BRL,319.9,319.9,0,"2 Oct, 2025"
steam,3527290,JP,JPY,880.0,704.0,20,"16 Jun, 2025"
steam,1675200,FR,EUR,419.0,335.2,20,"17 Jan, 2025"
steam,2807960,FR,EUR,69.99,69.99,0,"10 Oct, 2025"
steam,294100,PL,PLN,134.99,107.99,20,"17 Oct, 2018"
steam,3527290,GB,GBP,6.39,5.11,20,"16 Jun, 2025"
steam,990080,GB,GBP,49.99,9.99,80,"10 Feb, 2023"
