appid,name,cc,currency,initial,final,discount_percent
1675200,Steam Deck,US,,,,
1004640,FINAL FANTASY TACTICS - The Ivalice Chronicles,US,,,,
730,Counter-Strike 2,US,,,,
2807960,Battlefield™ 6,US,,,,
3405340,Megabonk,US,,,,
1984270,Digimon Story Time Stranger,US,,,,
1285190,Borderlands 4,US,,,,
553850,HELLDIVERS™ 2,US,,,,
1144200,Ready or Not,US,,,,
3008130,Dying Light: The Beast,US,,,,
1086940,Baldur's Gate 3,US,,,,
3606480,Call of Duty®: Black Ops 7,US,,,,
1091500,Cyberpunk 2077,US,,,,
1145350,Hades II,US,,,,
381210,Dead by Daylight,US,,,,
3314790,CloverPit,US,,,,
2486820,Sonic Racing: CrossWorlds,US,,,,
2947440,SILENT HILL f,US,,,,
275850,No Man's Sky,US,,,,
1174180,Red Dead Redemption 2,US,,,,
1669000,Age of Wonders 4,US,,,,
2183900,"Warhammer 40,000: Space Marine 2",US,,,,
2215430,Ghost of Tsushima DIRECTOR'S CUT,US,,,,
2767030,Marvel Rivals,US,,,,
3405690,EA SPORTS FC™ 26,US,,,,
1326470,Sons Of The Forest,US,,,,
1757300,Jump Space,US,,,,
990080,Hogwarts Legacy,US,,,,
3527290,PEAK,US,,,,
3489700,Stellar Blade™,US,,,,
2246340,Monster Hunter Wilds,US,,,,
1903340,Clair Obscur: Expedition 33,US,,,,
1222670,The Sims™ 4,US,,,,
3164500,Schedule I,US,,,,
1142710,Total War: WARHAMMER III,US,,,,
3472040,NBA 2K26,US,,,,
311210,Call of Duty®: Black Ops III,US,,,,
281990,Stellaris,US,,,,
374320,DARK SOULS™ III,US,,,,
3354750,skate.,US,,,,
2651280,Marvel's Spider-Man 2,US,,,,
2138330,Cyberpunk 2077: Phantom Liberty,US,,,,
252490,Rust,US,,,,
294100,RimWorld,US,,,,
1030300,Hollow Knight: Silksong,US,,,,
1085660,Destiny 2,US,,,,
3230400,EA SPORTS™ Madden NFL 26,US,,,,
236390,War Thunder,US,,,,
1151340,Fallout 76,US,,,,
230410,Warframe,US,,,,
