platform,appid,country,currency,initial,final,discount_percent,release_date
steam,3472040,GB,GBP,69.99,34.99,50,"4 Sep, 2025"
steam,1295660,BR,BRL,349.9,227.43,35,"10 Feb, 2025"
steam,2062430,JP,JPY,1700.0,1700.0,0,"15 Oct, 2025"
steam,2062430,AU,AUD,21.99,21.99,0,"15 Oct, 2025"
steam,3949040,FR,EUR,7.79,7.79,0,"21 Oct, 2025"
steam,2968420,BR,BRL,74.9,74.9,0,"23 Oct, 2025"
steam,3450310,JP,JPY,7990.0,7990.0,0,"4 Nov, 2025"
steam,3472040,DE,EUR,79.99,39.99,50,"4 Sep, 2025"
steam,1151340,JP,JPY,4800.0,4800.0,0,"14 Apr, 2020"
steam,1174180,CA,CAD,139.99,27.99,80,"5 Dec, 2019"
steam,1808500,DE,EUR,39.99,39.99,0,"30 Oct, 2025"
steam,3949040,PL,PLN,28.99,28.99,0,"21 Oct, 2025"
steam,2968420,AR,USD,12.49,12.49,0,"23 Oct, 2025"
steam,1466860,TR,USD,19.99,19.99,0,"28 Oct, 2021"
steam,3606480,GB,GBP,69.99,69.99,0,"13 Nov, 2025"
steam,3880840,AR,USD,24.99,24.99,0,"28 Oct, 2025"
steam,2062430,CA,CAD,19.99,19.99,0,"15 Oct, 2025"
steam,1086940,JP,JPY,8499.0,8499.0,0,"3 Aug, 2023"
steam,3880840,US,USD,24.99,24.99,0,"Oct 28, 2025"
steam,3067190,US,USD,19.99,19.99,0,"Nov 4, 2025"
steam,3949040,CA,CAD,10.49,10.49,0,"21 Oct, 2025"
steam,1151340,DE,EUR,39.99,39.99,0,"14 Apr, 2020"
steam,1086940,GB,GBP,49.99,49.99,0,"3 Aug, 2023"
steam,1151340,CN,CNY,165.0,165.0,0,"14 Apr, 2020"
steam,3405340,US,USD,9.99,9.99,0,"Sep 18, 2025"
steam,3948510,DE,EUR,19.99,19.99,0,"30 Oct, 2025"
steam,1675200,DE,EUR,419.0,419.0,0,"17 Jan, 2025"
steam,3472040,TR,USD,79.99,39.99,50,"4 Sep, 2025"
steam,1984270,JP,JPY,8910.0,8910.0,0,"2 Oct, 2025"
steam,3167020,AR,USD,12.99,12.99,0,"16 Oct, 2025"
steam,2807960,US,USD,69.99,69.99,0,"Oct 10, 2025"
steam,1627720,JP,JPY,8360.0,4180.0,50,"18 Sep, 2023"
steam,1158310,JP,JPY,6990.0,2097.0,70,"1 Sep, 2020"
steam,1984270,AR,USD,55.99,55.99,0,"2 Oct, 2025"
steam,1903340,AR,USD,34.99,27.99,20,"24 Apr, 2025"
steam,1857950,AU,AUD,29.5,29.5,0,"24 Oct, 2025"
steam,381210,DE,EUR,19.99,19.99,0,"14 Jun, 2016"
steam,1857950,CN,CNY,76.0,76.0,0,"24 Oct, 2025"
