appid,name,AR,AU,BR,CA,CN,DE,FR,GB,JP,PL,TR,US,diff_vs_US_AR_%,diff_vs_US_AU_%,diff_vs_US_BR_%,diff_vs_US_CA_%,diff_vs_US_CN_%,diff_vs_US_DE_%,diff_vs_US_FR_%,diff_vs_US_GB_%,diff_vs_US_JP_%,diff_vs_US_PL_%,diff_vs_US_TR_%
1086940,Baldur's Gate 3,34.99,89.95,199.99,79.99,298.0,59.99,59.99,49.99,8499.0,249.0,34.99,59.99,-41.67361226871145,49.941656942823805,233.37222870478413,33.33888981496915,396.74945824304046,0.0,0.0,-16.66944490748458,14067.361226871146,315.069178196366,-41.67361226871145
1151340,Fallout 76,23.99,54.95,155.0,54.99,165.0,39.99,39.99,34.99,4800.0,169.9,23.99,39.99,-40.01000250062516,37.409352338084524,287.5968992248062,37.50937734433608,312.60315078769685,0.0,0.0,-12.503125781445359,11903.000750187548,324.8562140535133,-40.01000250062516
1158310,Crusader Kings III,8.99,20.98,53.99,20.09,59.4,14.99,14.99,12.59,2097.0,69.59,8.99,14.99,-40.0266844563042,39.95997331554369,260.17344896597734,34.02268178785857,296.2641761174116,0.0,0.0,-16.010673782521685,13889.32621747832,364.2428285523683,-40.0266844563042
1174180,Red Dead Redemption 2,19.99,29.99,99.98,27.99,93.6,19.99,19.99,19.99,2816.0,85.8,19.99,19.99,0.0,50.025012506253134,400.1500750375189,40.020010005002504,368.2341170585293,0.0,0.0,0.0,13987.043521760881,329.21460730365186,0.0
1295660,Sid Meier's Civilization VII,45.49,77.96,227.43,58.49,193.7,45.49,45.49,38.99,5720.0,194.35,45.49,45.49,0.0,71.37832490657286,399.95603429325126,28.57770938667839,325.807869861508,0.0,0.0,-14.288854693339195,12474.192130138492,327.2367553308419,0.0
1449110,The Outer Worlds 2,48.99,109.95,299.0,89.99,298.0,69.99,69.99,59.99,8900.0,299.0,48.99,69.99,-30.00428632661808,57.09387055293615,327.20388626946703,28.575510787255325,325.7751107301043,0.0,0.0,-14.287755393627652,12616.10230032862,327.20388626946703,-30.00428632661808
1466860,Age of Empires IV: Anniversary Edition,19.99,44.95,99.99,49.99,179.0,39.99,39.99,29.99,4290.0,159.99,19.99,39.99,-50.01250312578145,12.4031007751938,150.0375093773443,25.006251562890718,347.6119029757439,0.0,0.0,-25.00625156289073,10627.68192048012,300.07501875468864,-50.01250312578145
1627720,Lies of P,17.99,44.97,124.95,39.99,149.0,29.99,29.99,24.99,4180.0,137.49,17.99,29.99,-40.01333777925976,49.94998332777593,316.6388796265422,33.34444814938314,396.8322774258086,0.0,0.0,-16.672224074691563,13837.97932644215,358.4528176058687,-40.01333777925976
1808500,ARC Raiders,39.99,60.78,171.8,57.99,199.64,39.99,39.99,30.99,6000.0,154.99,39.99,39.99,0.0,51.98799699924981,329.6074018504626,45.0112528132033,399.2248062015503,0.0,0.0,-22.50562640660166,14903.750937734432,287.5718929732433,0.0
1857950,VEIN,10.49,29.5,59.99,26.99,76.0,16.99,16.99,14.99,2300.0,72.99,10.49,19.99,-47.52376188094046,47.57378689344674,200.10005002501254,35.01750875437719,280.1900950475238,-15.007503751875939,-15.007503751875939,-25.012506253126553,11405.75287643822,265.1325662831416,-47.52376188094046
