appid,name,cc,currency,initial,final,discount_percent
1808500,ARC Raiders,US,,,,
3450310,Europa Universalis V,US,,,,
2807960,Battlefield™ 6,US,,,,
2592160,Dispatch,US,,,,
730,Counter-Strike 2,US,,,,
1675200,Steam Deck,US,,,,
1172470,Apex Legends™,US,,,,
3949040,RV There Yet?,US,,,,
3224770,Umamusume: Pretty Derby,US,,,,
3948510,ARC Raiders - Upgrade to Deluxe Edition,US,,,,
3028330,Battlefield™ REDSEC,US,,,,
1449110,The Outer Worlds 2,US,,,,
230410,Warframe,US,,,,
1903340,Clair Obscur: Expedition 33,US,,,,
1158310,Crusader Kings III,US,,,,
2767030,Marvel Rivals,US,,,,
3241660,R.E.P.O.,US,,,,
3880840,Season 1 Battlefield Pro - Battlefield™ 6 and REDSEC,US,,,,
381210,Dead by Daylight,US,,,,
3472040,NBA 2K26,US,,,,
436780,Tavern Keeper 🍻,US,,,,
3681810,Blue Protocol: Star Resonance,US,,,,
236390,War Thunder,US,,,,
1857950,VEIN,US,,,,
3551340,Football Manager 26,US,,,,
2300320,Farming Simulator 25,US,,,,
252490,Rust,US,,,,
1984270,Digimon Story Time Stranger,US,,,,
1295660,Sid Meier's Civilization VII,US,,,,
1627720,Lies of P,US,,,,
1174180,Red Dead Redemption 2,US,,,,
2707930,Palia,US,,,,
1151340,Fallout 76,US,,,,
553850,HELLDIVERS™ 2,US,,,,
238960,Path of Exile,US,,,,
2062430,BALL x PIT,US,,,,
3167020,Escape From Duckov,US,,,,
2357570,Overwatch® 2,US,,,,
3230400,EA SPORTS™ Madden NFL 26,US,,,,
3606480,Call of Duty®: Black Ops 7,US,,,,
1466860,Age of Empires IV: Anniversary Edition,US,,,,
2958130,Jurassic World Evolution 3,US,,,,
1086940,Baldur's Gate 3,US,,,,
3067190,Age of Empires IV: Dynasties of the East,US,,,,
2968420,PowerWash Simulator 2,US,,,,
3513350,Wuthering Waves,US,,,,
3405690,EA SPORTS FC™ 26,US,,,,
2139460,Once Human,US,,,,
1085660,Destiny 2,US,,,,
3405340,Megabonk,US,,,,
